"","Estimate","StdError","PValue","ZValue","ci_95_upper","ci_95_lower","ci_99_upper","ci_99_lower","OddsRatio","OR_ci_95_upper","OR_ci_95_lower","OR_ci_99_upper","OR_ci_99_lower","AIC","BIC","LogLikelihood"
"(Intercept)",0.317229721339078,0.140610808986543,0.0240654043823946,2.25608346631045,0.0419124670043211,0.593330800020438,-0.0445487716571777,0.680361040240532,1.37331801614559,1.04280319506809,1.81000715809845,0.956428952331108,1.97459051018469,8072.87214328682,8166.33003267025,-4022.43607164341
"Length_of_stay",-1.57730132095518e-05,0.0041265570642163,0.996950238933658,-0.00382231796727797,-0.00810575023214521,0.00807366534333902,-0.0106496312135196,0.010617164213509,0.999984227111184,0.991927012778577,1.0081063452691,0.989406875339762,1.01067372630057,8072.87214328682,8166.33003267025,-4022.43607164341
"Fall_increase_moderate_PatternsDeprescribing",-0.3259823634214,0.0647178077121964,4.72931871847349e-07,-5.0369809322198,-0.453026414879239,-0.199298794819884,-0.493039389496616,-0.159548021180317,0.721817917717896,0.635701341430468,0.819305052650547,0.610767210779083,0.852529026963298,8072.87214328682,8166.33003267025,-4022.43607164341
"Fall_increase_moderate_PatternsInitiating",0.0958920150186236,0.136401981319424,0.482049251958601,0.703010426176032,-0.17092834482343,0.364405479672142,-0.254727450724424,0.449439279896791,1.10064020496456,0.842881968164054,1.43965784781639,0.77512772967545,1.56743304781777,8072.87214328682,8166.33003267025,-4022.43607164341
"Fall_increase_moderate_PatternsNo_Treat",-0.421252083619602,0.183303183079502,0.0215551550261586,-2.29811657682396,-0.78526811005714,-0.0650073372234198,-0.902093421495751,0.0461365664236498,0.656224657070317,0.455997427898493,0.937060587929289,0.405719428332237,1.04721741592915,8072.87214328682,8166.33003267025,-4022.43607164341
"Fall_increase_high_PatternsDeprescribing",-0.275550145749487,0.0628610706630846,1.16799231877939e-05,-4.38347840472442,-0.398889838975402,-0.152446838220729,-0.437710144189628,-0.113798453525544,0.759154362775052,0.671064622448139,0.858604537688047,0.64551286139663,0.892437805451136,8072.87214328682,8166.33003267025,-4022.43607164341
"Fall_increase_high_PatternsInitiating",0.0902957768283719,0.12144958870798,0.457188949953567,0.743483595036982,-0.147357395605426,0.329145894712154,-0.221990648484125,0.404651177304042,1.09449796297058,0.862985495071001,1.38978060243835,0.800922854142424,1.49877960052155,8072.87214328682,8166.33003267025,-4022.43607164341
"Fall_increase_high_PatternsNo_Treat",-0.402784306962054,0.159029946006651,0.0113169177025627,-2.53275761626183,-0.717585404791658,-0.0931079478096441,-0.818089911430996,0.00365467135441505,0.668456265137782,0.487928985716157,0.911095144262376,0.44127372193036,1.00366135780889,8072.87214328682,8166.33003267025,-4022.43607164341
"Bone_mass_decrese_high_PatternsDeprescribing",-0.105112212345221,0.117559618905276,0.371258572867405,-0.894118348834692,-0.335882527112938,0.125204837097904,-0.408615055340372,0.197606874953774,0.900223500728182,0.714707059586508,1.13338058768153,0.664570005764416,1.21848328335556,8072.87214328682,8166.33003267025,-4022.43607164341
"Bone_mass_decrese_high_PatternsInitiating",0.0607228316539332,0.131766831614528,0.644916641429235,0.46083548424062,-0.197732045456043,0.319002168102248,-0.279085137534346,0.400226665098871,1.06260435307651,0.820589704421464,1.37575430767881,0.756475496014828,1.49216288055954,8072.87214328682,8166.33003267025,-4022.43607164341
"Bone_mass_decrese_high_PatternsNo_Treat",-0.027549052849614,0.111220685416331,0.804368695042723,-0.247697204404828,-0.245922416870587,0.190360060057098,-0.314782549413403,0.258881583915882,0.972826961448395,0.781982891251956,1.20968507853136,0.729947584543054,1.29548039003,8072.87214328682,8166.33003267025,-4022.43607164341
"Bone_mass_decrese_moderate_PatternsDeprescribing",-0.145938962555699,0.0938118831870748,0.119790057702884,-1.55565539884404,-0.330107003826345,0.037737057853215,-0.388130335042503,0.0954020877125238,0.864210450772091,0.718846809957225,1.03845814256324,0.678323928124431,1.10010110334505,8072.87214328682,8166.33003267025,-4022.43607164341
"Bone_mass_decrese_moderate_PatternsInitiating",-0.20038703694955,0.109736752031769,0.067839655059265,-1.82607042070589,-0.415742164740266,0.0145223292357784,-0.483553557389532,0.0820094312055045,0.818413935338848,0.659850381247605,1.01462829057278,0.61658841181516,1.08546604703463,8072.87214328682,8166.33003267025,-4022.43607164341
"Bone_mass_decrese_moderate_PatternsNo_Treat",-0.119314492370655,0.0901692207444924,0.185759365330752,-1.32322860711806,-0.296356473584968,0.057219560952289,-0.352149190940654,0.112642313195686,0.887528635881916,0.743522334701449,1.05888827539256,0.703175206779793,1.11923152699471,8072.87214328682,8166.33003267025,-4022.43607164341
