"","Estimate","StdError","PValue","ZValue","ci_95_upper","ci_95_lower","ci_99_upper","ci_99_lower","OddsRatio","OR_ci_95_upper","OR_ci_95_lower","OR_ci_99_upper","OR_ci_99_lower","AIC","BIC","LogLikelihood"
"(Intercept)",1.713777023594,0.734143971360368,0.0195754041186577,2.3343881996584,0.268627972207446,3.14828136509173,-0.188585018652732,3.59770368186437,5.54988398310049,1.3081683755139,23.2959928499336,0.828130093940751,36.5142896730297,10884.2381091254,11341.6700540189,-5377.11905456272
"Length_of_stay",0.00321574393407051,0.00362737576971306,0.375336970899684,0.886520762728944,-0.00390697127490844,0.0103144351196575,-0.00615115423231269,0.0125411854082895,1.00322091998539,0.996100651007452,1.0103678122661,0.993867725386565,1.01262015585638,10884.2381091254,11341.6700540189,-5377.11905456272
"Opioids_PatternsDeprescribing",-0.234567305351322,0.0550314937035155,2.022254649976e-05,-4.26241938143753,-0.342486596191701,-0.126750378651538,-0.376426381636701,-0.0928850092496947,0.790912999422625,0.710002636060997,0.880953549966048,0.686309640819505,0.911298285144942,10884.2381091254,11341.6700540189,-5377.11905456272
"Opioids_PatternsInitiating",-0.103986592009466,0.0784243570549317,0.184857037803218,-1.32594765088899,-0.258295334659082,0.0491941154992362,-0.307050093756493,0.0971279096461585,0.90123738112247,0.772367091647996,1.05042423457559,0.735613750328188,1.1020013212056,10884.2381091254,11341.6700540189,-5377.11905456272
"Opioids_PatternsNo_Treat",-0.169592098029841,0.0711046225435167,0.017074177247377,-2.38510650873717,-0.309351109246984,-0.0305822189380368,-0.353442328234044,0.012963970607819,0.844009019332942,0.733923037617713,0.969880686228902,0.702266492368996,1.01304836718535,10884.2381091254,11341.6700540189,-5377.11905456272
"centrAntiHT_PatternsDeprescribing",-0.226838387132331,0.234357989368947,0.333087304303688,-0.967914035033054,-0.682022393142917,0.239624204184976,-0.824108446511355,0.389990072021269,0.797049585350906,0.505593448986564,1.27077150996411,0.438625876622503,1.47696613052152,10884.2381091254,11341.6700540189,-5377.11905456272
"centrAntiHT_PatternsInitiating",-0.0853101646273872,0.245102926414349,0.727796226530404,-0.348058531472487,-0.562030142703412,0.401417410122971,-0.710989905354479,0.55774412492719,0.918227438557851,0.570050604252748,1.49394072435398,0.49115775704211,1.74672765305624,10884.2381091254,11341.6700540189,-5377.11905456272
"centrAntiHT_PatternsNo_Treat",-0.175250921387485,0.226420370089913,0.43892673010942,-0.774006867482337,-0.614532098704667,0.27628716857195,-0.75156149939343,0.422292541307175,0.839246409473366,0.540893921075468,1.31822636286035,0.471629528236847,1.52545471793234,10884.2381091254,11341.6700540189,-5377.11905456272
"oralSter_PatternsDeprescribing",-0.174902575282236,0.156680958654038,0.264294776326252,-1.11629758194442,-0.479894824120207,0.135082548402737,-0.575072946876185,0.233907746826341,0.839538808616545,0.618848476316376,1.14463126793442,0.562663822741672,1.26352792237005,10884.2381091254,11341.6700540189,-5377.11905456272
"oralSter_PatternsInitiating",-0.071281811615441,0.168716362884027,0.672663784626512,-0.422494951864504,-0.400356543619943,0.261683383022933,-0.503273698524924,0.367448074008046,0.931199432330897,0.670081090301508,1.2991151553934,0.604548307768351,1.44404481312337,10884.2381091254,11341.6700540189,-5377.11905456272
