"country_cd"|"hospital_st"|"mean_predict_model"|"sd_predict_model"|"mean_residuals_model"|"sd_residuals_model"|"median_predict_model"|"P25_predict_model"|"P75_predict_model"|"P05_predict_model"|"P95_predict_model"|"median_residuals_model"|"P25_residuals_model"|"P75_residuals_model"|"P05_residuals_model"|"P95_residuals_model"
"ESP"|"eRKOGF"|0.0302881305600163|0.0207364679947696|-0.00259582286770867|0.165000776522584|0.025635842827147|0.01551|0.04051|0.0068|0.07246|-0.0246884123996169|-0.03936|-0.01462|-0.07203|-0.00428
"ESP"|"fdSrDs"|0.030214679045628|0.0199331433553835|0.00378841214448017|0.180976208659796|0.0261338343575424|0.0157|0.04005|0.00713|0.06775|-0.0250190178540812|-0.03915|-0.01408|-0.06553|-0.00456
"ESP"|"FVYySn"|0.0287451517528398|0.0199342970647374|0.0118934549235027|0.197181072166348|0.0238992793629589|0.01396|0.03894|0.0057|0.06635|-0.022604900093327|-0.03737|-0.01288|-0.06495|-0.00289
"ESP"|"GnVZQU"|0.0309803770488166|0.021755922110447|-0.00283222890066847|0.165241558517712|0.0247957828154746|0.01433|0.04221|0.00754|0.07256|-0.0241021090676301|-0.04146|-0.01348|-0.07174|-0.00574
"ESP"|"mqTjDm"|0.0303413308286583|0.0214402325148137|0.00789396328898878|0.188836577008759|0.0250583262898515|0.01455|0.04104|0.0056|0.07106|-0.0232634488386377|-0.03885|-0.01316|-0.06841|-0.00268
"ESP"|"NvnAvO"|0.0301072905509373|0.0207379149560649|-0.00798339674562759|0.146243833242399|0.0246535559819203|0.01536|0.03959|0.00745|0.0692|-0.0237398848492783|-0.03883|-0.01459|-0.06699|-0.00591
"ESP"|"ppgrVk"|0.0297896911118591|0.019151806980174|0.000513339191171207|0.169875970498946|0.0254864567860919|0.01563|0.03986|0.00622|0.06754|-0.0247074221833597|-0.03857|-0.01442|-0.06664|-0.00417
"ESP"|"PxeqAW"|0.0301402928277191|0.0212648615135218|-0.00240306655034685|0.161182812364888|0.0248329114627295|0.01514|0.04045|0.00645|0.07156|-0.0236950853916565|-0.03803|-0.01386|-0.06931|-0.00433
"ESP"|"xFuDpj"|0.0301564885773937|0.019910048192955|-0.00593996436086953|0.152106720218868|0.0265916970899825|0.0145|0.04081|0.00685|0.06873|-0.0254319806666044|-0.03917|-0.01376|-0.06747|-0.00503
"ESP"|"YsUlhh"|0.0302973366695434|0.0210451545513397|-0.00227373784948442|0.163274657564343|0.0245405018266579|0.01477|0.03967|0.00703|0.0746|-0.0237090620511335|-0.03887|-0.01402|-0.07324|-0.00542
