"country_cd"|"hospital_st"|"mean_predict_model"|"sd_predict_model"|"mean_residuals_model"|"sd_residuals_model"|"median_predict_model"|"P25_predict_model"|"P75_predict_model"|"P05_predict_model"|"P95_predict_model"|"median_residuals_model"|"P25_residuals_model"|"P75_residuals_model"|"P05_residuals_model"|"P95_residuals_model"
"ESP"|"eRKOGF"|0.0997341133765992|0.031517373284966|0.00795819431570868|0.307360174303366|0.0971919463125403|0.07672|0.11845|0.05256|0.15569|-0.0923514266197616|-0.11431|-0.06727|-0.15263|0.89216
"ESP"|"fdSrDs"|0.0966264279517866|0.0332666182788034|-0.0116186999765161|0.277340092744366|0.0928007891455982|0.07301|0.1135|0.051|0.15561|-0.0891844602931258|-0.11069|-0.06635|-0.15009|0.89048
"ESP"|"FVYySn"|0.0985642344136948|0.033012095005678|-0.00857874820179357|0.286590478630344|0.0946123644084748|0.07459|0.11688|0.053|0.16093|-0.089674753480143|-0.11305|-0.06823|-0.15897|0.89285
"ESP"|"GnVZQU"|0.100703291351879|0.0321413522490843|0.0133707827221951|0.316785299096521|0.0965053862187371|0.07948|0.11904|0.05344|0.15795|-0.0914632361266603|-0.11436|-0.0679|-0.15191|0.90474
"ESP"|"mqTjDm"|0.100014562637788|0.0313480134961561|-0.00589691557896494|0.289662074135627|0.0963654983173903|0.07679|0.1198|0.05299|0.1561|-0.0923532255680334|-0.11674|-0.06779|-0.1517|0.88848
"ESP"|"NvnAvO"|0.0988998542526684|0.0293836011746033|0.0176193197886296|0.318829700034731|0.0961165522274751|0.07874|0.11865|0.05635|0.15173|-0.0896342135588665|-0.11302|-0.0685|-0.14435|0.9024
"ESP"|"ppgrVk"|0.0985432757544936|0.0308094925475131|0.00246682525560752|0.300368418734844|0.0967255780493692|0.07606|0.11735|0.05209|0.15309|-0.0909079323231666|-0.11374|-0.06829|-0.15076|0.89662
"ESP"|"PxeqAW"|0.0998004459101759|0.0321883209748331|0.00530904314091901|0.305176459316481|0.0970438058586914|0.07827|0.11869|0.05149|0.15734|-0.0908462749540442|-0.11523|-0.06735|-0.15219|0.89317
"ESP"|"xFuDpj"|0.0971707336765467|0.0308804196619557|-0.00600264250845551|0.287368084997599|0.094570650716816|0.0747|0.11506|0.05368|0.15061|-0.0882352405649816|-0.11163|-0.06725|-0.14765|0.89357
"ESP"|"YsUlhh"|0.0971067756380158|0.0307067768330497|-0.0145109054315262|0.273949921290557|0.0933333932255701|0.07554|0.11604|0.05123|0.15197|-0.089487068040486|-0.11186|-0.0687|-0.14918|0.88458
